Name,Score,Type,Episodes,Aired,Source,Rating,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5
Kenpuu Denki Berserk,8.451312333690431,TV,25,"Oct 8, 1997 to Apr 1, 1998",Manga,R+ - Mild Nudity,432190,18567,19540,276588,12737,9406,113919,58627.0,65906.0,60815.0,29055.0,9477.0,3899.0,1748.0,671.0,456.0,842.0,Action, Adventure, Demons, Drama, Fantasy
Koukaku Kidoutai,8.313819063819064,Movie,1,"Nov 18, 1995",Manga,R+ - Mild Nudity,468279,10362,8152,325682,3404,1927,129114,56237.0,65298.0,70881.0,39446.0,13704.0,5107.0,1842.0,675.0,292.0,486.0,Action, Mecha, Police, Psychological, Sci-Fi
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.711800477253483,OVA,4,"Feb 20, 1999 to Sep 22, 1999",Manga,R - 17+ (violence & profanity),228484,6111,6359,150183,3124,1836,66982,39845.0,33317.0,25800.0,11782.0,3575.0,1393.0,448.0,163.0,106.0,490.0,Action, Historical, Drama, Romance, Martial Arts
Rurouni Kenshin: Meiji Kenkaku Romantan,8.262795159763616,TV,94,"Jan 10, 1996 to Sep 8, 1998",Manga,PG-13 - Teens 13 or older,386195,11236,29540,216154,30655,18588,91258,38050.0,50380.0,57604.0,33295.0,10220.0,3867.0,1167.0,372.0,176.0,314.0,Action, Adventure, Comedy, Historical, Romance
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.598466422063734,Movie,1,"Dec 20, 1997",Manga,R - 17+ (violence & profanity),44334,107,547,34481,438,228,8640,2958.0,3683.0,6232.0,6557.0,2832.0,1310.0,426.0,129.0,71.0,59.0,Samurai, Historical, Drama, Shounen,
Akira,8.200032997282065,Movie,1,"Jul 16, 1988",Manga,R+ - Mild Nudity,566538,9555,8258,434086,3491,2174,118529,77192.0,82148.0,91288.0,54906.0,22369.0,9462.0,4322.0,1737.0,992.0,1067.0,Action, Military, Sci-Fi, Adventure, Horror
.hack//Sign,6.930215751714714,TV,26,"Apr 4, 2002 to Sep 26, 2002",Original,PG-13 - Teens 13 or older,158227,1359,6733,91528,8315,11881,39770,5266.0,8051.0,15537.0,20391.0,12617.0,7610.0,3688.0,1502.0,825.0,619.0,Game, Sci-Fi, Adventure, Mystery, Magic
Aa! Megami-sama!,7.3364817488141885,OVA,5,"Feb 21, 1993 to May 17, 1994",Manga,PG-13 - Teens 13 or older,46428,267,993,34581,860,894,9100,2021.0,3077.0,5826.0,7079.0,3737.0,1795.0,433.0,172.0,59.0,46.0,Comedy, Magic, Romance, Seinen, Supernatural
Aa! Megami-sama! (TV),7.297747573372331,TV,24,"Jan 7, 2005 to Jul 8, 2005",Manga,PG-13 - Teens 13 or older,135747,1124,5841,85884,6517,7971,29534,5425.0,9097.0,17037.0,20033.0,10160.0,5221.0,1678.0,591.0,291.0,214.0,Comedy, Supernatural, Magic, Romance, Seinen
Tenshi Kinryouku,6.346304425198719,OVA,3,"May 25, 2000 to Aug 25, 2000",Manga,R+ - Mild Nudity,43960,215,812,32981,749,1311,8107,1464.0,2043.0,3490.0,5450.0,5008.0,3621.0,2115.0,992.0,689.0,415.0,Action, Drama, Romance, Shoujo, Supernatural
